"","Site.of.Cancer","Average.Annual.Cases.malefemale","incidence.rate.per.100.000.Population.malefemale","incidence.95lower.malefemale","incidence.95upper.malefemale","Average.Annual.Cases.male","incidence.rate.per.100.000.male","incidence.95lower.male","incidence.95upper.male","Average.Annual.Cases.female","Rate.per.100.000.female","incidence.95lower.female","incidence.95upper.female","Average.Annual.Deaths.malefemale","mortality.rate.per.100.000.Population.malefemale","mortality.95lower.malefemale","mortality.95upper.malefemale","Average.Annual.Deaths.male","mortality.rate.per.100.000.male","mortality.95lower.male","mortality.95upper.male","Average.Annual.Deaths.female","mortality.rate.per.100.000.female","mortality.95lower.female","mortality.95upper.female","county.name"
"907","Myeloma",35,8.5,7.2,9.9,18.2,9.2,7.4,11.4,16.8,7.8,6.2,9.7,14.6,3.7,2.9,4.6,7.8,4.5,3.2,6.2,6.8,2.9,2,4.2,"Orange"
"908","Leukemias",59.8,15.2,13.5,17.1,34,19.4,16.5,22.6,25.8,12.4,10.3,14.8,31.6,8.1,6.9,9.5,16.2,9.7,7.7,12.2,15.4,7.2,5.6,9,"Orange"
"909","All Invasive Malignant Tumors",292.8,544,515.6,573.7,154.6,604.5,561.1,650.5,138.2,498.6,460.7,539,97.4,178.5,162.6,195.6,52.2,213.5,187.5,242.3,45.2,155.2,135.1,177.7,"Orleans"
"910","Oral cavity and pharynx",6.2,11.1,7.5,16,4.2,16.5,10,25.8,2,6.9,3.3,13.4,2.2,3.9,1.9,7.3,1.2,4.5,1.6,10.6,1,3.6,1.1,9,"Orleans"
"911","Esophagus",4.2,7,4.3,11,3.2,10.3,5.8,17.5,1,3.7,1.2,9.3,3.6,6.5,3.8,10.6,2.6,9,4.7,16.1,1,3.9,1.2,9.7,"Orleans"
"912","Stomach",3,5.8,3.2,9.9,1.8,6.7,3,13.4,1.2,4.7,1.7,10.7,1.4,2.2,0.9,5,1.4,5,1.9,11.1,0,0,0,3.8,"Orleans"
"913","Colorectal",24,45.2,37.2,54.5,12.2,46.7,35.3,60.9,11.8,42.3,31.8,55.5,7.8,14.4,10.1,20.1,4.2,17.3,10.5,27.2,3.6,11.8,6.9,19.3,"Orleans"
"914","Colon excluding rectum",15.8,30.3,23.8,38.2,7.4,28.8,19.9,40.6,8.4,30.2,21.5,41.6,6.6,12.1,8.2,17.3,3.6,14.5,8.3,23.6,3,9.9,5.5,17.1,"Orleans"
"915","Rectum & rectosigmoid",8.2,14.9,10.6,20.6,4.8,17.9,11.3,27.3,3.4,12.1,6.8,20.2,1.2,2.3,0.8,5.4,0.6,2.9,0.6,8.6,0.6,1.9,0.4,6.5,"Orleans"
"916","Liver / intrahepatic bile duct",6,10.6,7,15.4,3.8,13.7,8.1,22,2.2,7.4,3.5,14.1,5,8.9,5.7,13.4,2.6,9.8,5.1,17.4,2.4,7.9,4,14.5,"Orleans"
"917","Pancreas",11.4,20.8,15.7,27.3,5.8,23.1,15.3,33.9,5.6,18.2,12,27,8.2,15.2,10.8,21,4,15.5,9.3,24.5,4.2,15.5,9.4,24.3,"Orleans"
"918","Larynx",2.4,4.4,2.2,7.9,1.6,6.6,2.8,13.5,0.8,2.8,0.7,7.8,0.6,0.8,0.2,3.1,0.4,1.1,0.1,5.4,0.2,0.6,0,4.6,"Orleans"
"919","Lung and bronchus",48.4,85.8,75.1,97.8,26,100.4,83.3,120.3,22.4,74.8,61.3,90.7,26.8,48.9,40.8,58.3,14.2,57.3,44.3,73.1,12.6,42.8,32.8,55.4,"Orleans"
"920","Melanoma of the skin",16.4,32.2,25.3,40.5,9.6,39.5,28.8,53.2,6.8,26.4,17.8,37.8,1,1.9,0.6,4.6,0.6,2.5,0.5,7.8,0.4,1.3,0.2,5.6,"Orleans"
"921","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,29.8,110.7,93,130.9,NA,NA,NA,NA,NA,NA,NA,NA,4.4,14.9,9.2,23.2,"Orleans"
"922","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.4,5.8,2.2,12.6,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2.7,0.7,7.7,"Orleans"
"923","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,11.4,40.2,30.1,53,NA,NA,NA,NA,NA,NA,NA,NA,1.4,5,2,11,"Orleans"
"924","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,3,10.1,5.6,17.3,NA,NA,NA,NA,NA,NA,NA,NA,1.2,4,1.5,9.5,"Orleans"
"925","Prostate",NA,NA,NA,NA,32,115.6,97.9,135.8,NA,NA,NA,NA,NA,NA,NA,NA,2.4,11.5,5.9,20.3,NA,NA,NA,NA,"Orleans"
"926","Testis",NA,NA,NA,NA,2.4,12,6.1,21.3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.9,NA,NA,NA,NA,"Orleans"
"927","Urinary bladder (incl. in situ)",17,30.8,24.5,38.3,13.4,51.9,39.9,66.6,3.6,12.3,7.2,20.2,4.8,9.3,5.9,14.2,4,17.9,10.7,28.1,0.8,2.8,0.8,8,"Orleans"
"928","Kidney and renal pelvis",10.2,19.6,14.5,26.2,5.6,22.9,15,33.7,4.6,17,10.6,26.2,2.6,4.4,2.3,7.8,1.8,6.1,2.7,12.3,0.8,2.6,0.7,7.7,"Orleans"
"929","Brain and other central nervous system",2.6,5.6,2.9,9.8,1,4.8,1.5,11.4,1.6,6.5,2.7,13.5,2.8,5.6,3,9.8,1,4.8,1.5,11.6,1.8,6.5,2.8,13.2,"Orleans"
"930","Thyroid",6.4,13.1,8.8,18.9,0.6,2.5,0.5,7.9,5.8,23.8,15.5,35,0,0,0,1.9,0,0,0,3.9,0,0,0,3.8,"Orleans"
"931","Hodgkin lymphoma",1.6,3.3,1.4,6.7,0.6,2.1,0.4,7,1,4.5,1.4,10.8,0.2,0.4,0,2.7,0.2,0.9,0,5.5,0,0,0,3.8,"Orleans"
"932","Non-Hodgkin lymphomas",11.4,20.7,15.6,27.2,6.2,23.4,15.7,34,5.2,18.4,11.8,27.6,4.4,8,5,12.4,2.4,9.8,5,17.6,2,6.5,3.1,12.7,"Orleans"
"933","Myeloma",3.4,6.1,3.4,10.1,2.2,8.1,3.9,15.2,1.2,4.5,1.5,10.6,1,1.8,0.6,4.6,1,4.2,1.3,10.4,0,0,0,3.8,"Orleans"
"934","Leukemias",10.2,20.6,15.2,27.5,6.4,27.5,18.5,39.4,3.8,15,8.6,24.3,3.4,7.1,4,11.6,1.8,8.2,3.7,16,1.6,6.7,2.7,13.9,"Orleans"
"935","All Invasive Malignant Tumors",786.6,541.8,524.4,559.7,403.6,570.9,545.2,597.6,383,520.7,496.7,545.5,247.6,171.5,161.9,181.7,134,204.4,188.6,221.1,113.6,146.6,134.5,159.5,"Oswego"
"936","Oral cavity and pharynx",22,13.9,11.4,17,16.4,21.5,16.9,27,5.6,7,4.6,10.4,4.2,2.7,1.7,4.3,2.8,4,2.1,7,1.4,1.9,0.7,4,"Oswego"
"937","Esophagus",8.2,5.1,3.6,7,6.6,8.5,5.8,12.3,1.6,1.9,0.8,4,8.6,5.4,3.9,7.4,7.8,10.3,7.2,14.4,0.8,1,0.3,2.9,"Oswego"
"938","Stomach",12.6,8.7,6.6,11.2,9.4,13,9.4,17.6,3.2,4.8,2.7,7.9,2.8,1.9,1,3.3,2.2,3.4,1.6,6.3,0.6,0.8,0.2,2.6,"Oswego"
"939","Colorectal",56.4,40,35.3,45.1,28.8,42,35.2,49.9,27.6,37.5,31.3,44.6,20,14.1,11.4,17.2,11,17,12.7,22.4,9,11.4,8.2,15.4,"Oswego"
"940","Colon excluding rectum",40,28.4,24.5,32.8,18.6,26.6,21.3,33,21.4,29.2,23.8,35.6,15.2,10.8,8.4,13.6,8.4,12.8,9.1,17.5,6.8,8.9,6.1,12.6,"Oswego"
"941","Rectum & rectosigmoid",16.4,11.6,9.2,14.5,10.2,15.4,11.3,20.5,6.2,8.2,5.5,11.9,4.8,3.3,2.1,5,2.6,4.2,2.2,7.4,2.2,2.5,1.2,4.7,"Oswego"
"942","Liver / intrahepatic bile duct",12.4,8.5,6.5,11,8.4,12.5,8.8,17.1,4,4.9,3,7.8,8,5.6,4,7.8,4.4,6.7,4.1,10.5,3.6,4.4,2.6,7.1,"Oswego"
"943","Pancreas",23.4,16.1,13.2,19.4,13.6,20.3,15.5,26,9.8,12.4,9.1,16.6,17.4,11.9,9.5,14.8,8.4,13.1,9.3,17.9,9,11.3,8.2,15.3,"Oswego"
"944","Larynx",7.2,4.7,3.2,6.6,5.4,7.3,4.7,10.8,1.8,2.1,1,4.3,1.6,0.9,0.4,1.9,1.2,1.3,0.5,3.1,0.4,0.5,0.1,2,"Oswego"
"945","Lung and bronchus",148.2,98.8,91.7,106.5,75.8,107.5,96.5,119.4,72.4,91.8,82.4,102,79,53.3,48,59,43.2,63.1,54.7,72.6,35.8,45,38.5,52.3,"Oswego"
"946","Melanoma of the skin",27.8,20.9,17.4,24.8,14.2,21.5,16.6,27.4,13.6,21,16.1,26.9,2.6,1.9,1,3.4,1.8,2.8,1.2,5.5,0.8,1.1,0.3,3,"Oswego"
"947","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,105,143.8,131.3,157.2,NA,NA,NA,NA,NA,NA,NA,NA,14.8,18.7,14.6,23.7,"Oswego"
"948","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,2.6,4.8,2.5,8.3,NA,NA,NA,NA,NA,NA,NA,NA,1.6,3,1.2,5.9,"Oswego"
"949","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,31.4,42.3,35.7,49.9,NA,NA,NA,NA,NA,NA,NA,NA,3,3.8,2.1,6.5,"Oswego"
"950","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,8.2,11.4,8.1,15.8,NA,NA,NA,NA,NA,NA,NA,NA,5.2,7,4.5,10.4,"Oswego"
"951","Prostate",NA,NA,NA,NA,92,117.2,106.3,128.9,NA,NA,NA,NA,NA,NA,NA,NA,8.8,15.6,11.3,21.1,NA,NA,NA,NA,"Oswego"
"952","Testis",NA,NA,NA,NA,4.8,9.4,5.9,14.1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0,1.8,NA,NA,NA,NA,"Oswego"
"953","Urinary bladder (incl. in situ)",40.8,27.5,23.7,31.6,31.6,46.3,39.1,54.5,9.2,11.6,8.5,15.7,5.6,3.9,2.6,5.7,3.8,5.8,3.4,9.3,1.8,2.4,1.1,4.8,"Oswego"
"954","Kidney and renal pelvis",31,21.4,18,25.2,20.8,28.2,22.9,34.6,10.2,15,11,20,5.6,3.8,2.5,5.6,4.2,6.3,3.8,9.9,1.4,1.8,0.7,4,"Oswego"
"955","Brain and other central nervous system",10.2,7.9,5.8,10.5,5.6,8.3,5.4,12.2,4.6,7.5,4.7,11.5,7.4,5.4,3.8,7.6,4,5.8,3.4,9.1,3.4,5,2.9,8.2,"Oswego"
"956","Thyroid",18.8,14.9,11.9,18.4,4.8,7.3,4.6,11.1,14,22.5,17.3,28.7,0.8,0.5,0.1,1.4,0.6,0.9,0.2,2.7,0.2,0.2,0,1.6,"Oswego"
"957","Hodgkin lymphoma",3.6,2.9,1.7,4.7,2.4,4.3,2.1,7.6,1.2,1.6,0.6,3.7,0.6,0.5,0.1,1.4,0.6,0.9,0.2,2.9,0,0,0,1.3,"Oswego"
"958","Non-Hodgkin lymphomas",32.6,23,19.5,27,18.6,28.1,22.5,34.8,14,18.7,14.4,23.9,6.8,4.9,3.4,6.9,4.2,6.8,4.1,10.5,2.6,3.3,1.7,5.8,"Oswego"
"959","Myeloma",10.2,6.9,5.1,9.2,5.4,7.6,4.9,11.3,4.8,6.2,3.9,9.5,4,2.8,1.7,4.5,2.2,3.6,1.8,6.6,1.8,2.2,1,4.5,"Oswego"
"960","Leukemias",23.6,17.5,14.4,21.1,13.6,22.1,17,28.2,10,14.1,10.3,18.8,8,5.8,4.1,8,3.8,6.5,3.8,10.2,4.2,5.5,3.4,8.7,"Oswego"
"961","All Invasive Malignant Tumors",402.6,487.6,465,511.1,203,513.6,480.8,548.2,199.6,474.1,442.5,507.7,131,146.5,135.1,158.9,69.8,173.9,155.5,194.2,61.2,124.9,110.6,140.8,"Otsego"
"962","Oral cavity and pharynx",11.6,14.3,10.7,18.9,8.4,22.2,15.7,30.6,3.2,7.6,4.1,13.2,2.2,2.4,1.2,4.6,1.4,3.2,1.3,7.3,0.8,1.6,0.4,5,"Otsego"
"963","Esophagus",4.6,5.2,3.2,8,4,9,5.5,14.5,0.6,1.6,0.3,5.4,4.2,5.3,3.1,8.4,3.2,8.1,4.4,13.9,1,2.7,0.8,7,"Otsego"
"964","Stomach",3.8,4.7,2.7,7.8,2.6,7.2,3.6,13.1,1.2,2.3,0.8,6,1.4,1.8,0.6,4.2,1.2,3.3,1,7.9,0.2,0.4,0,3.5,"Otsego"
"965","Colorectal",35.8,43.4,36.9,50.9,21.8,56.5,45.9,69,14,31.9,24.2,41.4,11.8,13.1,9.9,17.3,5.4,13.1,8.5,19.6,6.4,12.8,8.5,19,"Otsego"
"966","Colon excluding rectum",23.2,28.2,23,34.4,13,33.6,25.6,43.5,10.2,23.4,16.8,32,8.4,9.3,6.6,12.8,3.8,9.6,5.7,15.5,4.6,8.5,5.3,13.6,"Otsego"
"967","Rectum & rectosigmoid",12.6,15.2,11.5,19.9,8.8,23,16.3,31.6,3.8,8.5,5,14,3.4,3.9,2.2,6.5,1.6,3.4,1.5,7.5,1.8,4.3,1.8,9,"Otsego"
"968","Liver / intrahepatic bile duct",5.6,6.8,4.4,10.1,4.4,11.1,6.9,17.3,1.2,2.9,1,7.1,3.8,4.4,2.6,7.2,2.4,5.7,2.9,10.5,1.4,3.5,1.3,8,"Otsego"
"969","Pancreas",11,11.8,8.8,15.7,5.2,12.5,8.1,18.9,5.8,11.6,7.7,17.2,9.4,9.8,7.2,13.3,4.6,10.7,6.7,16.6,4.8,9.4,6,14.6,"Otsego"
"970","Larynx",3.6,3.6,2.1,6,2.8,6.2,3.3,11,0.8,1.5,0.4,4.9,0.8,0.8,0.2,2.5,0.4,0.9,0.1,4.2,0.4,0.8,0.1,4,"Otsego"
"971","Lung and bronchus",50.2,55.6,48.7,63.3,25.6,61.4,51,73.7,24.6,50.7,41.8,61.4,29,31.9,26.8,37.9,16.8,40.1,31.7,50.2,12.2,25.4,19.2,33.2,"Otsego"
"972","Melanoma of the skin",23.8,31.2,25.4,38,16,42.3,33.2,53.4,7.8,23.2,15.7,33,2.2,2.4,1.2,4.7,1.2,2.9,1,7,1,1.7,0.5,5.1,"Otsego"
"973","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,57,144.5,126.8,164.1,NA,NA,NA,NA,NA,NA,NA,NA,7,13.8,9.4,20,"Otsego"
"974","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.8,6.2,2.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1,0.1,4.4,"Otsego"
"975","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,18.2,44.1,34.7,55.5,NA,NA,NA,NA,NA,NA,NA,NA,2.8,5.3,2.8,9.7,"Otsego"
"976","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,6,15.4,9.9,23.1,NA,NA,NA,NA,NA,NA,NA,NA,4.4,8.7,5.4,14,"Otsego"
"977","Prostate",NA,NA,NA,NA,38,86.7,74.4,100.7,NA,NA,NA,NA,NA,NA,NA,NA,8.2,20.5,14.7,28.3,NA,NA,NA,NA,"Otsego"
"978","Testis",NA,NA,NA,NA,1.8,8.4,3.7,15.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.9,NA,NA,NA,NA,"Otsego"
"979","Urinary bladder (incl. in situ)",21.2,22.6,18.4,27.6,14.6,34.6,27,44,6.6,13.5,9.1,19.7,4.8,5,3.2,7.7,3,7.6,4.2,13,1.8,3.4,1.5,7.3,"Otsego"
"980","Kidney and renal pelvis",13.8,16.3,12.5,21,10,25.6,18.7,34.4,3.8,8.2,4.9,13.4,3.8,4.1,2.5,6.7,2.6,6.3,3.3,11.3,1.2,2.4,0.9,6,"Otsego"
"981","Brain and other central nervous system",7.8,12.2,8.3,17.2,4.2,14.4,8.5,22.7,3.6,10.1,5.4,17.1,4.8,6.1,3.8,9.6,2.4,6.2,3,11.6,2.4,6.1,2.9,11.4,"Otsego"
"982","Thyroid",7.2,11.8,7.9,16.8,2,7.3,3.2,14.1,5.2,16.1,10,24.5,0.2,0.4,0,2.2,0,0,0,2.9,0.2,0.8,0,4.4,"Otsego"
"983","Hodgkin lymphoma",1.8,3.3,1.4,6.6,1,3.2,0.9,8.2,0.8,3.5,0.8,8.9,0.2,0.2,0,1.7,0.2,0.4,0,3.5,0,0,0,2.9,"Otsego"
"984","Non-Hodgkin lymphomas",18.4,22,17.4,27.5,10.2,25.6,18.7,34.5,8.2,18.9,13.2,26.5,4.6,5,3,7.9,2,5.2,2.3,10.3,2.6,4.8,2.5,9,"Otsego"
"985","Myeloma",6,7.2,4.8,10.7,3.8,9.6,5.7,15.5,2.2,5.2,2.3,10.2,2.6,3,1.5,5.4,1.4,3.7,1.4,8.2,1.2,2.2,0.8,5.8,"Otsego"
"986","Leukemias",12.8,15.2,11.4,20,7.2,20,13.6,28.5,5.6,11.1,7.2,17,4.6,5.7,3.5,8.9,3.4,9.6,5.4,16,1.2,2.1,0.8,5.6,"Otsego"
"987","All Invasive Malignant Tumors",643.2,500.7,482.8,519,314.6,513,486.8,540.3,328.6,500.5,475.5,526.5,151.6,119.8,111.2,129,79.4,139.7,125.7,154.8,72.2,105.9,94.9,117.8,"Putnam"
"988","Oral cavity and pharynx",15.8,11.1,8.7,14,12.8,18.1,13.8,23.5,3,4.3,2.4,7.4,2.6,1.8,1,3.3,2.2,2.9,1.4,5.6,0.4,0.7,0.1,2.8,"Putnam"
"989","Esophagus",6.2,4.5,3,6.5,4.8,7.3,4.6,11.2,1.4,2.1,0.8,4.6,5,3.5,2.2,5.3,3.8,5.6,3.3,9.1,1.2,1.6,0.6,3.9,"Putnam"
"990","Stomach",9.4,7.3,5.3,9.8,5.2,9.1,5.8,13.6,4.2,6.1,3.7,9.6,2.2,1.8,0.9,3.4,1.6,2.7,1.1,5.7,0.6,1,0.2,3.1,"Putnam"
"991","Colorectal",46.4,36.2,31.5,41.4,23.6,38,31.2,46,22.8,33.8,27.7,41,11.4,8.8,6.6,11.5,5.4,8.8,5.7,13.1,6,8.3,5.6,12.2,"Putnam"
"992","Colon excluding rectum",32.6,25.6,21.7,30.1,14.6,24.2,18.7,30.8,18,26.7,21.3,33.2,9.4,7.3,5.4,9.9,4,7,4.2,11,5.4,7.5,4.9,11.2,"Putnam"
"993","Rectum & rectosigmoid",13.8,10.5,8.1,13.5,9,13.9,10,18.9,4.8,7.1,4.5,10.9,2,1.4,0.7,2.7,1.4,1.8,0.7,4.2,0.6,0.9,0.2,2.9,"Putnam"
"994","Liver / intrahepatic bile duct",9.4,6.9,5,9.3,6.8,10.2,6.9,14.6,2.6,3.9,2,7.1,4.4,3.3,2,5.2,2.8,4.3,2.3,7.5,1.6,2.7,1.1,5.5,"Putnam"
"995","Pancreas",18.6,14.4,11.6,17.8,11.2,19.2,14.3,25.3,7.4,10.8,7.5,15.2,10.4,8,5.9,10.6,7,12,8.2,17,3.4,5,2.9,8.4,"Putnam"
"996","Larynx",2.6,1.9,1,3.5,2.6,4.1,2.1,7.3,0,0,0,1.6,0.6,0.4,0.1,1.4,0.6,0.8,0.2,2.8,0,0,0,1.6,"Putnam"
"997","Lung and bronchus",84,64.4,58.2,71.1,37.6,63.7,54.6,74,46.4,66.5,58.1,76,40.6,32.1,27.7,37,20.4,37.2,30.1,45.5,20.2,28.9,23.4,35.4,"Putnam"
"998","Melanoma of the skin",25.4,20.2,16.7,24.3,13.2,22.7,17.3,29.3,12.2,19.3,14.5,25.3,2.4,1.7,0.9,3.2,1.4,2,0.8,4.5,1,1.4,0.5,3.7,"Putnam"
"999","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,97.8,149.4,135.8,164,NA,NA,NA,NA,NA,NA,NA,NA,10.4,14.2,10.6,19,"Putnam"
"1000","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,3.2,5.4,2.9,9.1,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.4,0.3,4,"Putnam"
"1001","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,21.2,30.2,24.5,36.9,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3.4,1.7,6.3,"Putnam"
"1002","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,10,15.8,11.6,21.3,NA,NA,NA,NA,NA,NA,NA,NA,5.6,8.5,5.6,12.7,"Putnam"
"1003","Prostate",NA,NA,NA,NA,69.6,101.8,91,113.7,NA,NA,NA,NA,NA,NA,NA,NA,5.8,11.9,7.9,17.3,NA,NA,NA,NA,"Putnam"
"1004","Testis",NA,NA,NA,NA,3.2,6.8,3.8,11.1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0,2,NA,NA,NA,NA,"Putnam"
"1005","Urinary bladder (incl. in situ)",33.4,26,22.2,30.5,25.2,44.1,36.4,52.9,8.2,12,8.5,16.5,5.2,4.3,2.8,6.4,4.2,8.3,5,12.9,1,1.6,0.5,4.1,"Putnam"
"1006","Kidney and renal pelvis",27.4,20.8,17.4,24.9,19,29.4,23.5,36.5,8.4,12.6,8.9,17.4,2.8,2.2,1.2,3.9,1.8,2.7,1.2,5.6,1,1.6,0.5,4,"Putnam"
"1007","Brain and other central nervous system",8.2,6.3,4.5,8.8,5,8.1,5.1,12.4,3.2,4.6,2.6,7.9,4.4,3.6,2.2,5.6,2.4,3.7,1.8,6.8,2,3.4,1.5,6.5,"Putnam"
"1008","Thyroid",26.6,24.5,20.3,29.3,7.6,12.3,8.5,17.3,19,37,29.5,45.8,0.2,0.2,0,1.2,0,0,0,1.7,0.2,0.4,0,2.3,"Putnam"
"1009","Hodgkin lymphoma",6,6,4,8.7,2.8,5.5,2.9,9.5,3.2,6.3,3.5,10.5,0.2,0.1,0,1,0.2,0.2,0,2,0,0,0,1.6,"Putnam"
"1010","Non-Hodgkin lymphomas",31.2,24.5,20.7,28.9,17.4,28.2,22.4,35.3,13.8,21,16.1,27,5.6,5,3.3,7.3,3.2,6.4,3.6,10.6,2.4,3.8,1.9,6.9,"Putnam"
"1011","Myeloma",9.6,7.8,5.7,10.5,7,12.6,8.6,17.8,2.6,4,2.1,7.1,1.8,1.4,0.6,2.9,1.6,3,1.2,6.1,0.2,0.2,0,2,"Putnam"
"1012","Leukemias",24.8,19.1,15.8,23,14.2,23.3,18,29.8,10.6,15.7,11.6,20.9,8.4,7.2,5.1,9.9,5,9.7,6.2,14.6,3.4,5.1,3,8.5,"Putnam"
"1013","All Invasive Malignant Tumors",11343.2,421.3,417.8,424.9,5456.4,453.5,448,459,5886.8,404.7,400,409.5,3122.8,114.3,112.5,116.1,1541.2,134.6,131.5,137.7,1581.6,101.2,98.9,103.5,"Queens"
"1014","Oral cavity and pharynx",250.6,9.2,8.7,9.8,157.8,12.8,11.9,13.7,92.8,6.3,5.7,6.9,49.8,1.8,1.6,2.1,34,2.8,2.4,3.3,15.8,1,0.8,1.3,"Queens"
"1015","Esophagus",93.4,3.3,3,3.6,70.2,5.7,5.1,6.4,23.2,1.4,1.2,1.7,61.8,2.2,2,2.5,45.6,3.8,3.3,4.4,16.2,1,0.8,1.2,"Queens"
"1016","Stomach",331.6,12.3,11.7,12.9,193.2,16.2,15.2,17.3,138.4,9.2,8.5,10,129.4,4.8,4.4,5.2,78,6.8,6.1,7.5,51.4,3.3,2.9,3.7,"Queens"
"1017","Colorectal",1031,38.3,37.3,39.4,535.8,44.9,43.1,46.6,495.2,33.2,31.9,34.6,311,11.3,10.8,11.9,155,13.5,12.5,14.5,156,9.8,9.1,10.6,"Queens"
"1018","Colon excluding rectum",723.4,26.9,26,27.8,365.2,30.9,29.5,32.4,358.2,23.8,22.7,25,262,9.5,9,10.1,129.4,11.3,10.4,12.2,132.6,8.3,7.7,9,"Queens"
"1019","Rectum & rectosigmoid",307.6,11.4,10.9,12,170.6,14,13,15,137,9.4,8.7,10.1,49,1.8,1.6,2.1,25.6,2.2,1.8,2.6,23.4,1.5,1.3,1.8,"Queens"
"1020","Liver / intrahepatic bile duct",282.6,10.1,9.6,10.7,199.2,15.8,14.8,16.9,83.4,5.5,4.9,6,164.4,5.9,5.5,6.3,106.2,8.7,7.9,9.5,58.2,3.8,3.3,4.2,"Queens"
"1021","Pancreas",353,12.9,12.3,13.5,166,14.2,13.2,15.2,187,11.9,11.1,12.7,246,9,8.5,9.5,116,10,9.2,10.9,130,8.1,7.5,8.8,"Queens"
"1022","Larynx",65,2.4,2.1,2.6,53.8,4.5,3.9,5,11.2,0.7,0.5,0.9,18,0.6,0.5,0.8,14,1.2,0.9,1.5,4,0.2,0.1,0.4,"Queens"
"1023","Lung and bronchus",1182.2,43.2,42.1,44.3,616,52.4,50.5,54.3,566.2,36.6,35.3,38,600.4,21.8,21,22.6,328.6,28.4,27,29.8,271.8,17.1,16.2,18.1,"Queens"
"1024","Melanoma of the skin",203.6,7.7,7.2,8.2,111.2,9.7,8.9,10.6,92.4,6.3,5.7,6.9,26.2,1,0.8,1.2,14.6,1.3,1,1.6,11.6,0.7,0.6,1,"Queens"
"1025","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,1736.6,121.9,119.3,124.6,NA,NA,NA,NA,NA,NA,NA,NA,249.2,16.3,15.3,17.2,"Queens"
"1026","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,125,9.4,8.7,10.2,NA,NA,NA,NA,NA,NA,NA,NA,33.8,2.3,2,2.7,"Queens"
"1027","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,441.2,29.3,28.1,30.6,NA,NA,NA,NA,NA,NA,NA,NA,88.8,5.7,5.2,6.3,"Queens"
"1028","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,164.2,11.6,10.8,12.5,NA,NA,NA,NA,NA,NA,NA,NA,80.2,5.3,4.8,5.8,"Queens"
"1029","Prostate",NA,NA,NA,NA,1451.6,114.6,111.9,117.3,NA,NA,NA,NA,NA,NA,NA,NA,165.4,15.4,14.3,16.5,NA,NA,NA,NA,"Queens"
"1030","Testis",NA,NA,NA,NA,47.6,4,3.5,4.6,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.1,0,0.2,NA,NA,NA,NA,"Queens"
"1031","Urinary bladder (incl. in situ)",443.4,16.3,15.6,17,327.8,28.7,27.3,30.2,115.6,7.4,6.8,8,81.4,3,2.7,3.3,56,5.2,4.6,5.9,25.4,1.6,1.3,1.9,"Queens"
"1032","Kidney and renal pelvis",365,13.5,12.9,14.2,234.4,19.1,18,20.3,130.6,8.9,8.2,9.6,61.8,2.3,2,2.5,39.6,3.4,3,4,22.2,1.4,1.1,1.7,"Queens"
"1033","Brain and other central nervous system",131.8,5.3,4.9,5.7,73.8,6.3,5.7,7,58,4.3,3.8,4.8,73.6,2.8,2.6,3.2,37.6,3.3,2.8,3.8,36,2.5,2.1,2.9,"Queens"
"1034","Thyroid",507.2,20.4,19.6,21.2,116.4,9.7,8.9,10.5,390.8,30.6,29.2,32,13,0.5,0.4,0.6,4.2,0.3,0.2,0.5,8.8,0.6,0.4,0.8,"Queens"
"1035","Hodgkin lymphoma",64.2,2.7,2.4,3,38.2,3.3,2.9,3.8,26,2.2,1.8,2.6,6.6,0.3,0.2,0.4,3.8,0.3,0.2,0.5,2.8,0.2,0.1,0.3,"Queens"
